,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference
3,response,S133,5,1655,3.31,0.6659999999999999
68,response,S133,5,14657,29.314,0.12399999999999878
120,response,S133,5,24870,49.74,0.14800000000000324
131,response,S133,5,27216,54.432,0.7680000000000007
152,response,S133,5,31177,62.354,0.35999999999999943
166,response,S133,5,33805,67.61,0.0660000000000025
179,response,S133,5,36327,72.654,0.21999999999999886
185,response,S133,5,37351,74.702,0.15800000000000125
190,response,S133,5,38115,76.23,0.016000000000005343
194,response,S133,5,38884,77.768,0.43600000000000705
209,response,S133,5,41780,83.56,0.5180000000000007
214,response,S133,5,42619,85.238,0.5660000000000025
226,response,S133,5,44722,89.444,0.686000000000007
231,response,S133,5,45587,91.174,0.7480000000000047
237,response,S133,5,46450,92.9,0.06400000000000716
248,response,S133,5,48546,97.092,0.17600000000000193
255,response,S133,5,49779,99.558,0.1980000000000075
268,response,S133,5,52253,104.506,0.25
277,response,S133,5,53957,107.914,0.39400000000000546
290,response,S133,5,56315,112.63,0.20999999999999375
307,response,S133,5,59475,118.95,0.0040000000000048885
